Name,Margin,Minutes,FGA,FGM,3PA,3PM,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points
Chris Livingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Anthony Melton,69,49.97,20,7,15,4,1,4,8,3,2,3,10,19
Bradley Beal,0,109.22,40,20,19,8,0,7,14,5,3,5,9,54
Obi Toppin,-24,106.3,37,20,16,6,6,15,10,4,2,5,7,57
Jordan Poole,-24,121.46,60,28,35,20,2,6,24,12,1,13,12,90
Chet Holmgren,70,125.65,58,34,18,6,9,44,11,6,14,12,9,90
Tyler Kolek,2,9.15,2,1,1,1,0,0,0,0,0,3,0,7
Pat Spencer,33,4.09,3,2,0,0,0,0,1,0,0,0,0,4
Bogdan Bogdanović,4,27.83,6,2,6,2,0,2,2,0,2,2,3,8
Pascal Siakam,-24,166.81,75,41,24,11,12,38,26,4,1,7,10,103
Herbert Jones,-26,113.05,25,12,11,2,4,10,4,7,1,5,9,27
LaMelo Ball,-3,135.56,82,36,48,19,4,24,28,5,2,23,18,114
OG Anunoby,5,141.93,38,17,18,5,1,14,6,6,1,6,11,44
Cam Christie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Rollins,-30,10.38,2,1,2,1,0,0,1,0,1,1,2,6
Giannis Antetokounmpo,-43,172.25,93,61,3,0,5,58,29,2,3,18,16,152
Kawhi Leonard,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarred Vanderbilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Wade,91,119.9,30,13,24,8,2,24,9,8,0,1,11,35
Jae'Sean Tate,20,2.22,0,0,0,0,0,1,1,0,0,0,1,0
Harrison Ingram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Brown,57,179.48,111,44,39,12,7,37,18,8,2,12,12,129
Amir Coffey,3,106.62,24,13,10,5,2,9,4,2,0,0,9,35
E.J. Liddell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobi Klintman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Shead,-40,100.75,36,15,12,4,1,6,28,3,1,12,10,41
Donovan Clingan,-28,63.27,16,10,1,1,12,29,0,2,9,4,13,24
Daniel Theis,-41,80.07,18,7,6,0,3,22,11,2,6,5,9,20
Amen Thompson,23,102.52,28,13,6,2,8,21,6,2,2,13,12,40
Jakob Poeltl,-40,158.82,50,28,0,0,20,63,12,3,6,13,18,69
Karlo Matković,-10,4.72,1,1,0,0,3,4,0,0,1,2,1,2
Cameron Johnson,2,170.99,60,24,43,16,2,21,14,4,3,3,15,73
Caleb Houstan,6,10.23,3,2,3,2,0,1,0,0,0,0,2,6
Brice Sensabaugh,-86,72.99,22,10,14,6,5,13,3,2,0,4,2,28
Coby White,-14,168.32,76,33,47,16,1,22,22,7,1,12,9,95
Drew Peterson,31,5.72,1,0,1,0,0,1,0,1,2,1,0,0
Isaac Okoro,91,85.06,13,4,4,1,4,9,7,4,3,2,11,13
Collin Gillespie,12,3.43,2,1,1,1,0,0,0,0,0,0,0,3
Naz Reid,0,99.72,33,17,18,8,2,30,7,1,1,8,8,55
Guerschon Yabusele,-29,79.04,22,10,11,3,7,16,10,6,2,9,16,27
Onyeka Okongwu,-28,102.42,32,18,8,2,7,22,7,2,3,2,7,51
Matas Buzelis,-14,27.87,11,2,5,0,1,3,3,1,0,1,5,5
Antonio Reeves,-10,4.72,6,0,4,0,0,1,0,0,0,1,0,0
Josh Okogie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delon Wright,-43,69.99,12,6,6,3,0,3,6,2,2,2,4,15
Tidjane Salaün,-3,24.8,4,1,3,0,1,4,3,2,0,1,1,3
Cole Anthony,25,55.88,16,3,10,1,2,9,11,4,1,8,7,8
DaRon Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shake Milton,2,42.55,8,2,7,2,0,3,5,1,0,0,5,6
Malcolm Brogdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JD Davison,20,8.07,1,0,1,0,0,1,1,0,0,3,1,0
Karl-Anthony Towns,5,126.96,53,31,11,8,8,45,8,2,2,5,14,90
Chris Duarte,-31,6.2,2,2,2,2,0,0,1,0,0,0,0,6
Terry Rozier,-12,131.62,57,24,33,14,0,20,18,3,2,9,8,74
Svi Mykhailiuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keshad Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Dončić,7,186.54,124,48,48,14,3,42,30,5,3,12,19,136
Taylor Hendricks,-51,74.52,18,4,12,3,5,15,2,5,4,2,8,14
Adama Sanogo,3,8.75,4,2,0,0,1,1,1,0,0,0,1,4
Anthony Davis,-10,179.66,97,53,8,2,13,61,15,8,10,11,6,153
Dario Šarić,-13,39.31,9,2,1,0,2,6,1,1,0,2,3,5
Patrick Baldwin,-26,16.34,10,5,3,1,1,4,1,0,1,0,2,11
Taze Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJ Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobe Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Williams,-14,140.91,44,13,22,8,7,29,10,5,3,7,3,37
Anthony Edwards,0,156.78,90,41,53,22,1,25,14,2,2,16,11,120
Julian Phillips,-14,69.15,21,8,14,5,2,7,2,5,0,4,4,23
Jordan McLaughlin,26,11.91,1,0,0,0,0,0,2,0,0,2,3,0
Jordan Hawkins,-41,155.73,61,27,32,13,3,25,6,1,1,8,8,81
Trey Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Len,24,27.32,5,2,1,0,0,9,5,1,2,3,4,5
Joe Ingles,0,21.52,2,0,2,0,1,1,7,0,0,0,5,0
Trentyn Flowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Suggs,22,134.76,60,27,40,17,1,25,20,11,4,12,10,84
Gary Payton,102,56.15,17,10,5,1,4,7,7,5,1,2,4,25
AJ Johnson,-9,6.35,3,1,0,0,0,1,0,0,0,0,0,2
Jalen Hood-Schifino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keegan Murray,24,148.3,51,21,27,9,8,28,6,3,2,3,11,57
Devin Booker,18,181.75,83,40,40,18,4,16,25,7,2,11,14,132
Jalen Wilson,2,109.28,24,12,15,5,6,19,9,2,0,5,14,41
Seth Lundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Champagnie,-20,3.9,0,0,0,0,1,2,1,0,0,0,3,0
Garrett Temple,-22,8.72,2,1,1,0,0,0,2,1,0,0,2,2
Pelle Larsson,-19,6.25,1,1,0,0,0,0,0,1,0,0,0,2
Franz Wagner,22,129.79,64,33,28,11,5,21,17,7,2,9,10,89
Oso Ighodaro,14,30.12,3,2,0,0,3,9,0,0,1,2,6,4
Dennis Schröder,2,176.86,75,41,38,21,0,10,41,4,0,14,16,123
KJ Martin,-29,83.47,11,7,1,1,4,13,4,2,2,0,13,19
Yuki Kawamura,3,9.86,4,0,4,0,0,0,1,0,0,1,0,0
Quinten Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clint Capela,-30,111.41,28,19,0,0,8,33,6,4,5,7,10,46
Cameron Payne,5,64.78,27,10,13,4,3,9,13,3,1,2,6,24
Jonathan Kuminga,102,114.69,49,20,13,2,6,17,8,6,3,8,9,57
Quenton Jackson,-25,4.4,1,0,1,0,1,1,2,1,0,0,1,2
Terrence Shannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarace Walker,-24,40.97,12,6,6,2,2,7,4,5,0,6,8,18
Julian Strawther,-13,78.2,20,12,9,5,1,8,4,4,0,4,10,30
Scotty Pippen,2,146.53,47,24,15,6,4,18,38,8,3,15,20,65
Lester Quiñones,-15,2.65,1,0,1,0,1,1,1,0,0,0,0,0
Cory Joseph,6,10.23,3,1,2,1,0,0,1,0,0,0,0,3
Devin Vassell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immanuel Quickley,-30,14.23,9,4,4,2,0,2,4,1,0,2,2,13
Al Horford,57,124.6,30,17,20,12,4,22,9,5,3,3,5,46
Jordan Walsh,51,36.92,7,1,5,0,1,4,1,0,1,0,3,2
Rayan Rupert,-26,39.27,10,7,2,1,3,7,2,4,0,2,4,17
Seth Curry,-3,109.49,30,13,18,9,7,13,6,3,1,3,9,38
Jrue Holiday,57,146.31,39,20,20,11,4,16,16,1,1,9,11,61
Bojan Bogdanović,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Boston,-33,12.97,3,0,1,0,0,3,3,2,0,1,0,1
Chris Paul,-7,142.5,41,20,24,11,2,20,39,6,1,12,12,55
Bam Adebayo,-12,125.79,38,15,8,0,9,29,12,5,4,3,6,44
Jayson Tatum,57,176.87,105,51,61,23,4,35,26,10,3,9,15,151
Cam Reddish,-24,9.22,1,0,0,0,0,1,0,0,0,1,0,0
Chris Boucher,-40,85.52,38,15,19,5,4,21,3,3,7,3,6,43
Julius Randle,0,140.02,56,34,16,10,8,30,20,2,0,12,12,93
Alex Ducas,70,7.26,3,0,2,0,0,0,0,0,0,0,0,0
Toumani Camara,-28,149.48,35,16,14,7,12,18,14,9,2,5,17,42
Stephon Castle,-7,103.92,33,10,10,1,4,11,15,4,2,8,12,28
DeAndre Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Harden,3,180.67,95,35,47,13,4,40,58,7,3,31,13,119
Caleb Martin,-29,140.64,42,15,10,2,13,31,9,1,2,13,16,47
Zach Collins,-7,67.77,17,7,6,3,8,22,5,3,1,4,10,23
Cody Zeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Powell,3,166.54,95,47,46,19,2,15,8,3,2,7,7,127
Khris Middleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Dowtin,-15,2.65,0,0,0,0,0,0,0,0,0,0,0,0
Josh Minott,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxwell Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaccharie Risacher,-30,124.8,48,17,21,5,7,16,6,4,6,6,13,46
Gabe Vincent,-10,85.85,21,7,12,3,1,4,2,4,0,3,6,17
Mo Bamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarJon Beauchamp,-43,13.33,9,3,5,1,1,2,0,1,0,4,3,9
Quentin Grimes,7,55.88,16,5,9,3,1,7,1,1,1,2,8,16
Nikola Jokić,-13,156.17,82,47,20,11,16,49,37,5,5,12,10,126
Gary Harris,22,86.96,22,8,19,8,2,9,3,0,4,1,2,24
Jimmy Butler,-12,133.85,43,21,8,1,10,20,24,9,2,6,8,67
Duncan Robinson,-12,65.05,30,8,22,5,0,4,2,0,2,2,6,21
Caris LeVert,91,107.52,32,22,14,9,2,8,19,6,3,3,6,59
Kris Dunn,3,109.14,23,14,11,6,6,25,11,6,0,5,12,34
Sam Hauser,20,38.0,16,6,11,3,1,7,2,1,1,1,2,15
Max Christie,-10,91.18,18,5,12,3,2,8,6,3,2,3,11,18
Malik Monk,24,98.78,40,17,22,8,0,12,12,2,2,2,7,50
Brandin Podziemski,102,145.89,60,22,29,6,9,28,21,4,3,9,11,51
Paul Reed,-12,6.63,0,0,0,0,1,1,1,0,0,2,0,0
Nick Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Tillman,57,73.85,18,5,10,3,5,16,4,3,0,3,6,13
Jacob Toppin,2,4.91,1,0,1,0,0,0,0,0,0,0,0,0
Dorian Finney-Smith,2,145.68,47,18,31,8,8,27,11,7,3,6,17,50
Jevon Carter,-19,4.43,1,0,1,0,0,0,1,1,0,0,0,0
Isaiah Stewart,-22,101.02,11,5,1,0,16,38,11,4,5,10,18,17
Jamison Battle,-40,76.08,22,10,15,5,6,18,2,0,2,0,12,31
Royce O'Neale,18,132.02,33,17,21,10,6,34,14,3,5,6,13,52
Kevon Looney,102,76.07,23,11,0,0,21,40,9,6,3,5,15,27
David Duke,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJ Dozier,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaQuan Jeffries,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trendon Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Green,0,40.07,11,5,7,4,2,5,5,1,3,0,7,14
Moritz Wagner,22,75.66,34,19,12,5,5,22,4,1,2,8,15,55
Thomas Bryant,-12,56.0,13,8,8,4,2,9,4,1,2,1,6,23
RJ Barrett,-7,62.0,39,19,12,6,2,9,11,2,0,5,8,51
Isaiah Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nic Claxton,-11,83.76,23,17,0,0,8,33,6,2,7,2,14,37
Jaylen Martin,26,3.09,1,1,1,1,0,0,0,0,0,0,1,3
Georges Niang,91,91.19,25,10,19,7,5,18,4,3,0,4,10,27
Bol Bol,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terance Mann,3,116.81,28,11,8,0,8,17,10,3,0,3,18,22
Ryan Dunn,18,93.09,35,18,25,11,2,11,3,2,2,1,16,47
Johnny Juzang,-35,20.62,4,0,3,0,0,2,0,1,0,1,2,0
Moses Moody,102,93.01,41,20,27,13,2,11,7,2,1,8,9,55
Jalen Brunson,5,128.39,75,33,18,7,2,11,23,0,0,7,6,91
D'Angelo Russell,-10,153.42,49,18,28,7,3,11,29,5,1,7,11,54
Kobe Bufkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duop Reath,-27,8.92,4,1,2,1,1,2,2,0,1,1,0,3
Keaton Wallace,-39,19.97,4,3,2,2,0,2,2,0,0,0,0,10
De'Andre Hunter,9,58.93,24,10,10,4,2,13,4,2,1,0,9,36
Cole Swider,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Tshiebwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keldon Johnson,-7,137.27,52,18,22,4,5,28,4,4,0,7,7,51
Alec Burks,16,33.63,5,3,4,3,0,3,2,0,1,0,0,9
Stanley Umude,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emoni Bates,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlatko Čančar,-15,1.63,0,0,0,0,0,1,0,0,0,0,0,0
Eric Gordon,-29,90.77,23,8,13,3,0,3,5,0,1,1,4,28
Kyle Kuzma,-37,92.35,52,17,18,5,5,21,11,1,1,7,3,51
Tre Mann,-3,113.87,65,29,28,12,6,15,13,4,2,9,12,82
Ousmane Dieng,70,60.66,20,8,14,4,1,15,4,2,2,0,3,22
Daishen Nix,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Da,19,5.35,1,0,1,0,0,0,0,0,0,1,0,0
Deandre Ayton,-28,162.35,67,34,6,2,16,61,6,3,4,6,12,72
Liam Robbins,-23,4.73,1,1,0,0,0,0,0,0,0,0,0,2
Armel Traoré,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Lillard,-43,175.03,80,33,45,12,6,26,31,3,1,14,9,116
DJ Steward,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Christopher,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vit Krejci,-17,56.22,14,6,7,2,1,5,4,3,1,4,9,18
Bobby Portis,-43,124.74,53,25,14,4,11,38,6,4,3,10,7,56
A.J. Green,-43,35.65,11,5,11,5,0,2,3,1,0,1,1,17
Alex Caruso,70,84.0,15,2,9,1,3,12,9,9,4,4,6,5
Steven Adams,11,23.84,3,3,0,0,2,4,3,1,0,1,5,6
Dariq Whitehead,13,1.97,0,0,0,0,0,1,0,0,0,2,0,0
Doug McDermott,28,11.95,7,2,6,2,0,0,0,0,0,0,2,8
Luka Garza,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Gill,-7,3.21,2,1,0,0,0,0,1,1,0,1,0,2
Jeremy Sochan,-7,160.02,73,35,9,2,15,41,16,5,2,11,15,85
Alperen Sengun,23,148.51,73,27,9,4,23,62,18,8,3,10,18,76
Nikola Jović,-12,94.37,34,16,20,7,4,19,9,3,1,4,10,41
Noah Clowney,2,80.82,37,11,20,6,5,17,1,2,2,3,13,32
Isaiah Joe,70,66.75,24,9,18,7,2,5,5,1,0,1,6,25
Riley Minix,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Nesmith,-24,126.16,31,14,9,4,4,23,5,4,2,4,24,43
CJ McCollum,-26,136.87,65,29,34,13,1,14,16,9,4,8,6,75
Bones Hyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Butler,-26,29.64,12,6,2,1,0,3,7,2,1,1,2,16
Reece Beekman,33,4.09,1,1,0,0,1,1,1,1,0,0,1,2
Kentavious Caldwell-Pope,22,143.82,32,9,24,4,2,5,7,7,5,4,11,28
Nikola Vučević,-14,165.72,76,38,24,11,15,55,17,1,3,10,16,101
Trevelin Queen,-13,3.05,0,0,0,0,0,0,0,0,0,1,0,0
Isaac Jones,30,4.87,1,0,0,0,0,0,0,0,0,0,2,0
Ulrich Chomche,-30,4.5,1,1,0,0,0,1,0,0,0,0,0,2
Trae Young,-30,191.29,97,39,50,15,6,26,58,8,2,29,10,141
Jaxson Hayes,-10,78.9,12,11,0,0,7,19,7,2,2,5,12,26
Trey Jemison,-15,1.37,2,1,0,0,2,2,0,0,0,0,0,2
T.J. McConnell,-24,80.61,36,20,1,0,2,11,17,4,0,8,2,41
Tre Jones,-11,15.63,2,0,0,0,1,1,3,1,0,0,0,3
Jock Landale,12,30.56,11,7,1,1,4,8,2,0,0,0,1,18
James Wiseman,6,4.63,4,2,1,0,0,1,0,0,0,0,0,6
Jaden Springer,31,7.37,1,0,0,0,2,3,1,0,0,1,0,1
Vasilije Micić,-8,44.88,18,3,7,1,5,11,3,1,0,4,2,7
Ivica Zubac,3,177.17,66,40,0,0,20,66,15,4,4,12,16,96
Zion Williamson,-53,120.26,66,24,4,1,13,34,18,1,6,15,12,73
Shai Gilgeous-Alexander,70,129.3,89,38,33,9,6,30,24,10,6,5,7,104
Jamal Murray,-13,151.75,66,25,20,7,3,20,19,5,0,6,8,75
Cam Thomas,2,175.53,99,43,40,14,4,21,13,6,0,12,13,137
Sidy Cissoko,6,3.2,0,0,0,0,0,1,2,0,0,0,1,0
Jalen Green,23,174.1,109,47,54,22,3,27,15,4,2,13,10,138
GG Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Ingram,-41,162.23,88,45,29,12,7,32,20,4,2,12,13,112
Victor Wembanyama,-7,154.71,74,31,34,8,11,53,16,5,16,18,10,91
Josh Hart,5,141.25,38,20,18,5,9,41,14,5,0,9,5,58
Tristan Vukcevic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernando,-38,38.36,12,5,0,0,9,17,2,1,3,6,10,14
Ty Jerome,91,72.96,31,20,9,5,3,8,17,7,0,5,4,57
Cody Williams,-86,113.92,24,5,17,3,3,16,6,3,1,5,6,17
Kyle Anderson,102,72.52,22,8,12,2,7,18,12,9,2,2,3,20
Donte DiVincenzo,0,108.0,42,13,30,8,2,8,13,5,0,6,7,38
Jaylen Wells,2,138.15,54,20,27,10,6,20,10,2,1,6,12,57
Austin Reaves,-10,171.89,59,31,29,13,8,30,24,6,2,15,14,84
Lonzo Ball,-28,47.2,14,5,12,4,0,8,11,0,1,3,4,14
